# promo app availability, compiled by video.py
# Player Name | market | line | sides | game
Brock Purdy | completions | 20.5 | over,under | ARI @ SF
Brock Purdy | pass_attempts | 28.5 | over,under | ARI @ SF
Jacoby Brissett | pass_attempts | 32.5 | over,under | ARI @ SF
Christian McCaffrey | receptions | 4.5 | over,under | ARI @ SF
Deebo Samuel | receptions | 3.5 | over,under | ARI @ SF
Kendrick Bourne | receptions | 2.5 | over,under | ARI @ SF
Jeremiyah Love | rush_attempts | 9.5 | over,under | ARI @ SF
Tyler Allgeier | rush_attempts | 8.5 | over,under | ARI @ SF
Michael Penix Jr. | completions | 18.5 | over,under | ATL @ GB
Michael Penix Jr. | interceptions | 0.5 | over,under | ATL @ GB
Michael Penix Jr. | pass_attempts | 31.5 | over,under | ATL @ GB
Brian Robinson Jr. | receptions | 0.5 | over,under | ATL @ GB
Christian Watson | receptions | 4.5 | over | ATL @ GB
Drake London | receptions | 5.5 | over,under | ATL @ GB
Kyle Pitts Sr. | receptions | 3.5 | over,under | ATL @ GB
Matthew Golden | receptions | 4.5 | over,under | ATL @ GB
Kaleb Johnson | rush_attempts | 9.5 | over,under | ATL @ GB
Michael Penix Jr. | rush_attempts | 1.5 | over,under | ATL @ GB
Chris Brooks | targets | 1.5 | over,under | ATL @ GB
Christian Watson | targets | 7.5 | over,under | ATL @ GB
Drake London | targets | 9.0 | over,under | ATL @ GB
Olamide Zaccheaus | targets | 1.5 | over,under | ATL @ GB
Tucker Kraft | targets | 6.0 | over,under | ATL @ GB
Dak Prescott | completions | 25.5 | over,under | BAL @ DAL
Lamar Jackson | completions | 19.0 | over,under | BAL @ DAL
Brandon Aubrey | field_goals_made | 1.5 | over,under | BAL @ DAL
Tyler Loop | field_goals_made | 1.5 | over,under | BAL @ DAL
Dak Prescott | interceptions | 0.5 | over,under | BAL @ DAL
Dak Prescott | pass_attempts | 36.5 | over,under | BAL @ DAL
Lamar Jackson | pass_attempts | 29.0 | over,under | BAL @ DAL
Dak Prescott | pass_tds | 1.5 | over | BAL @ DAL
CeeDee Lamb | receptions | 6.5 | over | BAL @ DAL
Jake Ferguson | receptions | 3.5 | over,under | BAL @ DAL
Javonte Williams | receptions | 2.5 | over | BAL @ DAL
Mark Andrews | receptions | 4.5 | over,under | BAL @ DAL
Derrick Henry | rush_attempts | 18.5 | over,under | BAL @ DAL
